V4_1,Data Marking,calendar-years,time,admin-geography,geography,week-number,week,recorded-deaths,deaths
462,,2011,2011,E12000001,North East,week-47,Week 47,total-registered-deaths,Total registered deaths
949,,2010,2010,E12000006,East of England,week-38,Week 38,total-registered-deaths,Total registered deaths
1408,,2010,2010,E12000002,North West,week-52,Week 52,total-registered-deaths,Total registered deaths
8705,,2011,2011,K04000001,England and Wales,week-27,Week 27,total-registered-deaths,Total registered deaths
1693,,2013,2013,E12000008,South East,week-9,Week 09,total-registered-deaths,Total registered deaths
1547,,2011,2011,E12000008,South East,week-50,Week 50,total-registered-deaths,Total registered deaths
870,,2011,2011,E12000009,South West,week-52,Week 52,total-registered-deaths,Total registered deaths
,x,2019,2019,E12000003,Yorkshire and The Humber,week-53,Week 53,total-registered-deaths,Total registered deaths
,x,2014,2014,E12000003,Yorkshire and The Humber,week-53,Week 53,total-registered-deaths,Total registered deaths
890,,2011,2011,E12000003,Yorkshire and The Humber,week-36,Week 36,total-registered-deaths,Total registered deaths
1395,,2010,2010,E12000009,South West,week-1,Week 01,total-registered-deaths,Total registered deaths
1385,,2010,2010,E12000002,North West,week-5,Week 05,total-registered-deaths,Total registered deaths
905,,2010,2010,E12000005,West Midlands,week-33,Week 33,total-registered-deaths,Total registered deaths
817,,2010,2010,E12000009,South West,week-35,Week 35,total-registered-deaths,Total registered deaths
930,,2010,2010,E12000009,South West,week-38,Week 38,total-registered-deaths,Total registered deaths
1302,,2013,2013,E12000008,South East,week-32,Week 32,total-registered-deaths,Total registered deaths
1363,,2011,2011,E12000008,South East,week-37,Week 37,total-registered-deaths,Total registered deaths
968,,2010,2010,E12000009,South West,week-43,Week 43,total-registered-deaths,Total registered deaths
1370,,2010,2010,E12000002,North West,week-44,Week 44,total-registered-deaths,Total registered deaths
918,,2010,2010,E12000007,London,week-16,Week 16,total-registered-deaths,Total registered deaths
1797,,2011,2011,E12000002,North West,week-2,Week 02,total-registered-deaths,Total registered deaths
8573,,2011,2011,K04000001,England and Wales,week-32,Week 32,total-registered-deaths,Total registered deaths
1294,,2010,2010,E12000008,South East,week-39,Week 39,total-registered-deaths,Total registered deaths
835,,2010,2010,E12000004,East Midlands,week-44,Week 44,total-registered-deaths,Total registered deaths
1505,,2013,2013,E12000008,South East,week-50,Week 50,total-registered-deaths,Total registered deaths
899,,2011,2011,E12000009,South West,week-26,Week 26,total-registered-deaths,Total registered deaths
535,,2011,2011,W92000004,Wales,week-16,Week 16,total-registered-deaths,Total registered deaths
,x,2011,2011,E12000004,East Midlands,week-53,Week 53,total-registered-deaths,Total registered deaths
,x,2013,2013,W92000004,Wales,week-53,Week 53,total-registered-deaths,Total registered deaths
769,,2011,2011,E12000004,East Midlands,week-45,Week 45,total-registered-deaths,Total registered deaths
,x,2017,2017,E12000004,East Midlands,week-53,Week 53,total-registered-deaths,Total registered deaths
647,,2010,2010,E12000004,East Midlands,week-31,Week 31,total-registered-deaths,Total registered deaths
1048,,2010,2010,E12000006,East of England,week-16,Week 16,total-registered-deaths,Total registered deaths
663,,2010,2010,W92000004,Wales,week-4,Week 04,total-registered-deaths,Total registered deaths
939,,2010,2010,E12000009,South West,week-33,Week 33,total-registered-deaths,Total registered deaths
557,,2011,2011,W92000004,Wales,week-42,Week 42,total-registered-deaths,Total registered deaths
1378,,2011,2011,E12000008,South East,week-24,Week 24,total-registered-deaths,Total registered deaths
8635,,2010,2010,K04000001,England and Wales,week-34,Week 34,total-registered-deaths,Total registered deaths
1016,,2010,2010,E12000005,West Midlands,week-48,Week 48,total-registered-deaths,Total registered deaths
526,,2011,2011,W92000004,Wales,week-26,Week 26,total-registered-deaths,Total registered deaths
1329,,2011,2011,E12000008,South East,week-38,Week 38,total-registered-deaths,Total registered deaths
1826,,2011,2011,E12000008,South East,week-3,Week 03,total-registered-deaths,Total registered deaths
491,,2011,2011,W92000004,Wales,week-33,Week 33,total-registered-deaths,Total registered deaths
1070,,2010,2010,E12000009,South West,week-6,Week 06,total-registered-deaths,Total registered deaths
,x,2017,2017,E12000001,North East,week-53,Week 53,total-registered-deaths,Total registered deaths
1268,,2010,2010,E12000002,North West,week-23,Week 23,total-registered-deaths,Total registered deaths
1262,,2010,2010,E12000007,London,week-2,Week 02,total-registered-deaths,Total registered deaths
,x,2017,2017,E12000009,South West,week-53,Week 53,total-registered-deaths,Total registered deaths
729,,2013,2013,W92000004,Wales,week-12,Week 12,total-registered-deaths,Total registered deaths
829,,2010,2010,E12000003,Yorkshire and The Humber,week-28,Week 28,total-registered-deaths,Total registered deaths
1027,,2011,2011,E12000009,South West,week-44,Week 44,total-registered-deaths,Total registered deaths
758,,2010,2010,W92000004,Wales,week-2,Week 02,total-registered-deaths,Total registered deaths
